"veh_value","exposure","veh_body","veh_age","gender","area","agecat","anomaly"
2.61,0.8761122519,"STNWG",3,"M","C",1,0
1.78,0.7501711157,"STNWG",2,"M","A",3,0
0.93,0.9144421629,"SEDAN",4,"M","C",2,0
3.28,0.8405201916,"STNWG",2,"F","C",2,1
1.79,0.8268309377,"STNWG",4,"M","D",3,0
3.78,0.8268309377,"STNWG",1,"F","B",6,0
4.899,0.1971252567,"STNWG",1,"M","C",5,0
0.81,0.7474332649,"HBACK",3,"F","E",2,0
2.17,0.8268309377,"SEDAN",2,"F","C",4,0
4.23,0.6269678302,"STNWG",2,"F","C",3,0
2.31,0.424366872,"SEDAN",3,"F","D",3,0
1.01,0.5092402464,"SEDAN",3,"M","A",2,0
0.99,0.6570841889,"COUPE",4,"F","D",5,0
1.51,0.6570841889,"STNWG",4,"F","C",4,0
1.11,0.5503080082,"SEDAN",3,"F","D",5,0
2.38,0.501026694,"HBACK",3,"F","D",2,0
1.18,0.4490075291,"STNWG",4,"M","A",1,0
0.93,0.9281314168,"SEDAN",4,"F","C",5,1
1.428,0.7748117728,"HBACK",1,"M","B",5,1
0.72,0.1505817933,"COUPE",4,"F","A",2,0
1.54,0.4024640657,"SEDAN",3,"F","C",4,0
0.87,0.424366872,"UTE",4,"M","C",4,0
1.67,0.5749486653,"SEDAN",2,"F","B",2,1
1.2,0.5448323066,"UTE",4,"M","A",6,0
2.37,0.8323066393,"STNWG",4,"F","D",4,1
2.02,0.5448323066,"STNWG",3,"M","B",4,0
1.19,0.9993155373,"STNWG",4,"F","C",4,0
5.633,0.5831622177,"STNWG",1,"F","A",2,0
1.39,0.8240930869,"HBACK",2,"F","B",1,0
3.1,0.2135523614,"HBACK",2,"M","C",3,1
0.71,0.5201916495,"HBACK",4,"F","B",2,0
2,0.8240930869,"HBACK",1,"M","C",4,0
1.48,0.5420944559,"SEDAN",2,"F","B",3,0
5.236,0.9993155373,"STNWG",1,"F","A",3,0
3.4,0.5448323066,"STNWG",3,"M","A",4,0
0.54,0.5420944559,"SEDAN",4,"F","C",2,1
0.91,0.5420944559,"HBACK",3,"F","C",5,0
3.42,0.681724846,"TRUCK",2,"F","E",2,0
2.12,0.6926762491,"HBACK",1,"F","A",4,0
1.5,0.1040383299,"UTE",4,"F","D",2,0
0.7,0.5420944559,"STNWG",4,"M","C",4,0
1.91,0.5475701574,"HDTOP",4,"M","D",1,0
5.07,0.8240930869,"STNWG",1,"F","C",5,0
1.26,0.7748117728,"HBACK",1,"F","C",4,0
3.56,0.1752224504,"HDTOP",2,"F","C",4,1
1.88,0.8733744011,"HBACK",2,"F","B",2,0
2.12,0.2080766598,"STNWG",3,"M","C",6,0
2.28,0.8377823409,"HBACK",2,"F","B",2,1
2.85,0.5722108145,"STNWG",3,"M","F",2,0
1.33,0.4407939767,"SEDAN",2,"F","C",6,1
2.92,0.1259411362,"STNWG",3,"M","F",1,0
2.198,0.4298425736,"HBACK",1,"F","B",2,1
1.37,0.4435318275,"HBACK",1,"F","A",4,1
1.12,0.2409308693,"COUPE",3,"M","A",4,0
2.65,0.3942505133,"UTE",3,"F","A",3,0
3.18,0.1560574949,"TRUCK",3,"F","E",3,0
1.47,0.8350444901,"SEDAN",3,"F","B",2,0
1.37,0.4955509925,"HBACK",1,"M","A",1,0
3.81,0.8761122519,"UTE",1,"M","D",3,0
0.86,0.1396303901,"HBACK",3,"M","C",3,0
1.4,0.4599589322,"HBACK",2,"M","E",2,0
0.39,0.5366187543,"SEDAN",4,"M","A",3,0
0.45,0.8049281314,"SEDAN",4,"F","B",2,0
1.79,0.5393566051,"SEDAN",3,"F","A",5,0
0.7,0.1724845996,"COUPE",4,"M","B",4,0
1.36,0.5366187543,"SEDAN",3,"F","B",4,0
3.02,0.4599589322,"PANVN",2,"F","C",4,0
1.3,0.4599589322,"HBACK",2,"F","A",5,0
3.93,0.4599589322,"STNWG",2,"M","C",4,1
1.91,0.462696783,"HDTOP",4,"M","D",6,0
0.24,0.9226557153,"HBACK",4,"F","B",5,1
1,0.4599589322,"HBACK",3,"F","C",3,0
1.47,0.5366187543,"SEDAN",2,"F","C",2,1
1.41,0.9993155373,"SEDAN",2,"M","E",4,0
3.1,0.8131416838,"STNWG",3,"M","E",2,0
1.13,0.4271047228,"SEDAN",4,"F","B",1,1
3.22,0.9226557153,"SEDAN",1,"M","B",5,0
0.62,0.4462696783,"HBACK",4,"M","A",2,0
1.15,0.1724845996,"HBACK",2,"F","C",2,0
2.83,0.8350444901,"STNWG",1,"M","A",2,0
2.09,0.9226557153,"SEDAN",2,"M","B",3,1
3.44,0.4435318275,"TRUCK",2,"M","E",1,1
5.236,0.772073922,"STNWG",1,"M","C",2,0
3.75,0.772073922,"HDTOP",2,"M","F",1,0
3.96,0.772073922,"STNWG",2,"M","B",2,0
2.2,0.772073922,"HBACK",1,"F","A",2,0
1.17,0.8213552361,"STNWG",4,"F","E",3,0
1.26,0.5284052019,"HBACK",2,"F","B",3,0
0.83,0.59137577,"SEDAN",3,"M","B",2,0
2.18,0.4134154689,"SEDAN",2,"M","C",5,1
1.48,0.9226557153,"HBACK",2,"M","B",2,0
3.04,0.8514715948,"SEDAN",2,"M","D",5,0
5.499,0.772073922,"STNWG",1,"F","E",5,0
1.71,0.4134154689,"SEDAN",4,"F","C",4,0
1.41,0.8213552361,"COUPE",3,"M","C",2,0
3.21,0.758384668,"STNWG",1,"M","A",5,0
1.89,0.2819986311,"HBACK",2,"F","A",1,0
1.64,0.6023271732,"SEDAN",3,"M","B",3,0
2.05,0.8323066393,"STNWG",3,"F","B",6,0
1.37,0.4982888433,"HBACK",1,"F","A",4,0
2.07,0.8350444901,"SEDAN",2,"M","C",5,0
5.83,0.8323066393,"STNWG",2,"F","C",5,0
2.8,0.4982888433,"STNWG",2,"F","E",4,0
1.93,0.205338809,"PANVN",1,"M","D",6,1
0.96,0.8323066393,"UTE",4,"M","E",5,0
1.46,0.3504449008,"COUPE",4,"M","E",4,0
1.87,0.8323066393,"SEDAN",2,"F","C",5,0
1.92,0.5694729637,"HBACK",2,"F","C",1,0
3.79,0.8295687885,"STNWG",2,"M","C",4,0
1.28,0.8350444901,"SEDAN",3,"M","A",6,1
2.49,0.1697467488,"STNWG",4,"M","A",5,0
3.58,0.8350444901,"STNWG",2,"F","E",5,0
4.7,0.3230663929,"STNWG",1,"F","C",2,0
0.79,0.5694729637,"COUPE",4,"F","A",4,0
1.74,0.1642710472,"HBACK",2,"F","B",3,0
1.81,0.8295687885,"SEDAN",2,"F","C",3,0
2,0.4106776181,"HBACK",1,"F","C",3,0
1.43,0.8788501027,"HBACK",1,"F","A",2,0
1.04,0.8323066393,"HBACK",2,"F","B",2,0
0.88,0.8323066393,"UTE",4,"M","B",6,0
1.71,0.4982888433,"SEDAN",2,"M","A",5,0
0.5,0.3915126626,"HBACK",4,"F","D",4,0
1.59,0.4134154689,"HDTOP",4,"M","C",3,0
0.79,0.8186173853,"SEDAN",3,"F","A",3,0
3,0.5995893224,"STNWG",3,"F","A",5,1
3.399,0.4106776181,"STNWG",1,"F","D",2,0
0.97,0.4134154689,"UTE",4,"F","C",2,1
1.41,0.5694729637,"SEDAN",3,"F","A",6,0
2.03,0.8295687885,"SEDAN",1,"F","C",3,0
0.89,0.4134154689,"HBACK",3,"M","C",4,0
1.99,0.5694729637,"HDTOP",3,"F","A",2,0
6.5,0.501026694,"COUPE",1,"M","C",3,1
1.56,0.7419575633,"SEDAN",1,"F","C",2,0
3.15,0.1697467488,"UTE",2,"M","E",1,0
1.19,0.9171800137,"HBACK",2,"M","C",1,0
0.39,0.8268309377,"SEDAN",4,"M","A",4,0
2.199,0.4134154689,"SEDAN",1,"M","A",3,0
1.85,0.7857631759,"HBACK",2,"M","B",5,0
1.67,0.5585215606,"HBACK",3,"F","C",1,0
1.04,0.1697467488,"UTE",4,"M","B",3,1
3.83,0.9226557153,"STNWG",2,"F","A",2,0
1.36,0.810403833,"HBACK",2,"F","B",4,0
1.2,0.8268309377,"UTE",4,"M","B",5,0
2.05,0.8268309377,"STNWG",3,"F","F",4,0
3.05,0.167008898,"STNWG",1,"F","C",4,1
1.17,0.8131416838,"STNWG",4,"F","C",2,0
2.31,0.2272416153,"STNWG",2,"F","E",4,0
1.29,0.4106776181,"SEDAN",3,"F","C",6,0
2.13,0.8131416838,"STNWG",2,"F","A",1,0
3.97,0.6598220397,"STNWG",2,"M","C",5,0
0.79,0.4982888433,"HBACK",3,"F","C",3,0
13.9,0.2299794661,"SEDAN",2,"F","C",5,0
1.31,0.8131416838,"HBACK",1,"M","A",3,1
0.91,0.34770705,"HBACK",4,"F","C",5,1
2.099,0.5612594114,"HBACK",1,"F","A",3,0
1.09,0.5667351129,"SEDAN",3,"F","E",2,0
0.9,0.9171800137,"SEDAN",3,"M","C",6,1
1.53,0.4407939767,"UTE",2,"M","B",5,0
5.98,0.4982888433,"STNWG",1,"F","A",3,0
1.52,0.8843258042,"SEDAN",3,"F","C",4,0
1.58,0.5585215606,"SEDAN",3,"F","A",5,1
1.07,0.810403833,"SEDAN",3,"F","C",1,0
1.99,0.2026009582,"HBACK",1,"F","D",3,0
3.15,0.4106776181,"MCARA",3,"M","A",3,0
0.61,0.6242299795,"COUPE",4,"F","B",5,0
1.29,0.8240930869,"SEDAN",3,"M","B",4,0
0.34,0.8240930869,"PANVN",4,"F","C",3,0
7.46,0.8240930869,"STNWG",1,"M","C",6,1
1.02,0.5366187543,"SEDAN",3,"F","E",4,0
2.3,0.34770705,"STNWG",3,"F","C",2,0
1.5,0.0136892539,"HBACK",2,"M","C",1,0
1.53,0.5667351129,"HBACK",1,"M","B",3,0
1.57,0.167008898,"SEDAN",2,"F","B",4,1
1.26,0.9993155373,"HBACK",2,"F","A",4,0
2.42,0.3367556468,"STNWG",2,"M","C",4,0
1.45,0.5722108145,"STNWG",3,"M","A",3,0
3.57,0.1177275838,"STNWG",3,"F","F",4,0
4.11,0.6625598905,"STNWG",2,"F","B",3,0
1.29,0.6625598905,"HBACK",2,"M","C",5,0
1.09,0.6625598905,"HBACK",3,"F","C",4,0
4,0.8049281314,"STNWG",3,"M","F",5,0
2.82,0.3367556468,"STNWG",3,"F","C",3,0
1.61,0.3367556468,"UTE",3,"M","D",5,0
2.03,0.5585215606,"MIBUS",4,"F","C",4,0
5.236,0.476386037,"STNWG",1,"F","B",3,0
1.36,0.9034907598,"SEDAN",3,"F","A",3,0
2.23,0.4079397673,"STNWG",3,"F","D",3,0
1.37,0.9993155373,"SEDAN",3,"F","A",6,0
0.38,0.925393566,"HBACK",4,"F","D",4,0
0.55,0.925393566,"HBACK",4,"M","A",4,0
1.11,0.0739219713,"SEDAN",3,"M","C",3,0
1.65,0.925393566,"SEDAN",2,"F","D",5,0
1.93,0.8076659822,"SEDAN",2,"M","C",3,0
2.9,0.4079397673,"STNWG",2,"M","E",3,0
0.72,0.810403833,"STNWG",4,"F","C",3,0
1.68,0.4079397673,"HBACK",1,"F","F",1,0
1.07,0.9993155373,"SEDAN",2,"M","A",1,0
1.23,0.810403833,"SEDAN",3,"F","D",4,0
1.42,0.9144421629,"SEDAN",3,"M","D",6,0
1.29,0.8076659822,"SEDAN",3,"F","C",1,1
1.6,0.2217659138,"HBACK",2,"F","C",6,0
3.13,0.4079397673,"STNWG",1,"F","A",1,0
1.02,0.0492813142,"HBACK",4,"F","C",4,1
0.97,0.5338809035,"SEDAN",3,"F","E",6,0
1.88,0.5338809035,"SEDAN",1,"F","B",4,0
3.53,0.2245037645,"STNWG",2,"M","F",2,0
1.51,0.4654346338,"SEDAN",3,"F","D",5,0
1.78,0.5338809035,"MIBUS",4,"M","B",3,0
0.71,0.5557837098,"STNWG",4,"M","B",2,0
2.14,0.8076659822,"MIBUS",4,"F","C",2,0
2.77,0.4407939767,"MIBUS",3,"M","B",3,0
2.47,0.462696783,"STNWG",2,"M","D",2,0
3.15,0.2491444216,"STNWG",3,"F","E",3,0
0.6,0.334017796,"SEDAN",4,"M","A",1,1
0.83,0.0164271047,"HBACK",3,"F","C",4,0
1.15,0.5585215606,"SEDAN",3,"F","B",5,1
2.32,0.5694729637,"SEDAN",2,"F","E",3,0
2.38,0.4928131417,"SEDAN",1,"F","B",2,0
0.84,0.4052019165,"HBACK",3,"F","D",6,0
1.98,0.4052019165,"UTE",3,"F","E",1,0
1.28,0.3997262149,"HBACK",3,"M","B",2,0
4.17,0.7419575633,"STNWG",2,"M","C",4,0
4.54,0.3449691992,"STNWG",1,"F","C",5,0
4.6,0.1916495551,"STNWG",1,"F","C",2,0
1.64,0.4134154689,"SEDAN",3,"F","C",4,0
0.96,0.7802874743,"STNWG",4,"F","C",3,0
1.34,0.5886379192,"STNWG",4,"M","D",4,0
3.64,0.8158795346,"STNWG",2,"F","E",4,0
2.64,0.4216290212,"SEDAN",2,"M","C",4,0
1.69,0.8158795346,"SEDAN",2,"M","B",4,0
2.34,0.8213552361,"UTE",3,"F","F",4,0
2.78,0.4380561259,"TRUCK",3,"M","A",4,0
1.85,0.8213552361,"SEDAN",2,"M","A",4,0
1.79,0.8213552361,"SEDAN",2,"M","C",4,0
1.5,0.5338809035,"HBACK",1,"M","B",6,0
2.26,0.4271047228,"SEDAN",2,"M","A",2,0
1.32,0.6680355921,"STNWG",4,"M","D",2,0
0.61,0.9993155373,"PANVN",4,"M","B",3,0
1.61,0.5557837098,"SEDAN",2,"F","B",4,0
3.22,0.3312799452,"STNWG",3,"F","B",4,0
3.04,0.6707734428,"TRUCK",3,"M","E",2,0
0.39,0.1259411362,"SEDAN",4,"M","C",3,0
0.66,0.6680355921,"STNWG",4,"M","B",4,0
1.41,0.9117043121,"SEDAN",2,"M","B",5,0
1.3,0.9089664613,"HBACK",2,"F","B",2,0
1.1,0.810403833,"SEDAN",3,"F","D",4,1
2.17,0.8049281314,"SEDAN",2,"F","E",3,0
1.64,0.219028063,"UTE",3,"M","E",4,0
2.28,0.8432580424,"STNWG",2,"M","A",3,0
1.11,0.8049281314,"SEDAN",3,"M","A",1,0
1.3,0.9089664613,"HDTOP",4,"F","A",2,0
2.12,0.4490075291,"STNWG",3,"F","D",3,0
4.18,0.514715948,"STNWG",2,"M","E",2,0
2.45,0.3969883641,"SEDAN",1,"M","F",3,0
0.85,0.3969883641,"SEDAN",3,"F","C",4,0
2.105,0.3969883641,"UTE",1,"M","C",5,0
1.68,0.2792607803,"HBACK",2,"F","A",3,1
2.25,0.8131416838,"SEDAN",4,"M","A",6,0
3.43,0.1806981519,"STNWG",2,"F","B",3,0
1.97,0.553045859,"SEDAN",2,"F","A",5,0
1.85,0.8186173853,"HBACK",2,"F","C",5,0
1.26,0.9993155373,"HBACK",2,"F","D",2,0
4.47,0.3969883641,"STNWG",2,"M","D",5,0
2.05,0.5722108145,"STNWG",4,"M","A",1,0
0.95,0.8021902806,"SEDAN",4,"F","A",3,0
1.67,0.8459958932,"HDTOP",4,"F","E",3,0
2.02,0.8021902806,"SEDAN",2,"F","A",5,0
1.09,0.8213552361,"SEDAN",3,"F","C",4,0
0.93,0.8952772074,"HBACK",3,"F","D",4,0
0.95,0.8213552361,"SEDAN",4,"F","B",4,0
0.99,0.8213552361,"SEDAN",3,"F","A",4,0
1.53,0.3969883641,"STNWG",4,"M","C",1,0
0.72,0.3422313484,"SEDAN",4,"F","B",3,0
1.62,0.3942505133,"HBACK",2,"F","C",2,0
0.84,0.7994524298,"HBACK",3,"F","C",4,0
1.07,0.8158795346,"SEDAN",4,"F","B",3,0
3.199,0.681724846,"STNWG",1,"F","F",3,0
1.36,0.9993155373,"HBACK",2,"F","C",4,0
2.099,0.9993155373,"HBACK",1,"M","C",2,0
2.19,0.7008898015,"STNWG",4,"F","D",2,0
2,0.1834360027,"HBACK",1,"F","A",2,0
4.28,0.2108145106,"STNWG",2,"M","F",2,0
1.95,0.8021902806,"SEDAN",1,"F","B",3,0
3.38,0.9993155373,"UTE",1,"F","F",2,0
0.85,0.2929500342,"SEDAN",4,"F","C",4,0
1.44,0.4818617385,"SEDAN",2,"F","B",2,1
1.43,0.7693360712,"STNWG",4,"F","C",2,0
0.85,0.2874743326,"SEDAN",4,"M","A",4,0
2.03,0.7693360712,"STNWG",3,"F","C",3,0
2.16,0.4818617385,"STNWG",3,"M","A",2,0
2.03,0.1806981519,"MIBUS",4,"M","B",5,0
1.68,0.8186173853,"HBACK",3,"F","A",4,0
4.34,0.8186173853,"STNWG",2,"M","C",5,0
0.9,0.8186173853,"HDTOP",4,"M","E",4,0
1.4,0.9993155373,"HBACK",1,"M","C",3,1
1.22,0.7693360712,"STNWG",4,"M","D",2,0
1.98,0.7994524298,"STNWG",4,"F","C",3,0
1.98,0.9308692676,"HBACK",1,"F","C",2,1
1.47,0.9034907598,"SEDAN",3,"F","C",3,0
1.27,0.7446954141,"HBACK",1,"F","B",4,0
1.03,0.5503080082,"HBACK",2,"F","A",4,0
1.47,0.3942505133,"HBACK",1,"F","B",3,0
2.61,0.8459958932,"STNWG",4,"M","F",3,0
1.55,0.7693360712,"HBACK",2,"M","B",4,1
2.53,0.553045859,"STNWG",2,"F","B",4,0
0.99,0.3942505133,"HBACK",2,"F","A",2,0
1.71,0.6680355921,"HBACK",2,"F","A",1,1
4.45,0.7611225188,"STNWG",1,"M","C",3,0
1.82,0.900752909,"SEDAN",2,"F","C",6,0
0.47,0.1314168378,"HBACK",4,"F","C",5,0
3.33,0.1889117043,"UTE",2,"M","E",1,0
1.56,0.4681724846,"SEDAN",3,"M","B",4,0
3.37,0.5229295003,"TRUCK",2,"M","C",6,0
0.75,0.5284052019,"HBACK",3,"M","D",6,0
1.34,0.5311430527,"SEDAN",3,"F","B",4,0
1.47,0.5284052019,"SEDAN",2,"F","E",4,0
3.24,0.5284052019,"STNWG",2,"F","B",4,0
0.81,0.5256673511,"HBACK",4,"F","C",3,0
1.36,0.4736481862,"SEDAN",4,"F","F",4,0
1.45,0.3121149897,"SEDAN",3,"M","A",4,0
1.19,0.8980150582,"HBACK",2,"F","E",2,0
1.47,0.4709103354,"HDTOP",4,"F","E",2,0
3.2,0.0958247775,"UTE",2,"F","E",3,0
1.95,0.5229295003,"SEDAN",3,"M","B",3,0
0.72,0.5256673511,"HBACK",4,"F","E",3,0
1.88,0.5229295003,"SEDAN",3,"F","A",1,1
1.6,0.7994524298,"HDTOP",4,"M","B",2,0
1.59,0.5229295003,"SEDAN",4,"F","E",4,0
0.83,0.810403833,"STNWG",4,"F","D",2,0
0.88,0.1889117043,"HBACK",3,"M","A",1,0
1.81,0.205338809,"TRUCK",4,"M","E",5,0
0,0.9993155373,"TRUCK",1,"M","A",5,0
2.36,0.810403833,"UTE",3,"M","E",1,0
4.08,0.3641341547,"STNWG",2,"F","F",2,0
1.36,0.3915126626,"HBACK",1,"F","C",2,0
1.73,0.3915126626,"SEDAN",2,"F","B",3,0
0.5,0.205338809,"HBACK",4,"F","B",3,0
2.45,0.7830253251,"HDTOP",1,"M","C",6,0
2.23,0.3915126626,"STNWG",3,"F","F",2,0
1.45,0.2272416153,"SEDAN",3,"F","A",1,0
3.25,0.205338809,"UTE",2,"M","E",2,0
1.77,0.8514715948,"STNWG",4,"M","B",2,0
0.72,0.5201916495,"HBACK",3,"F","C",6,0
1.87,0.0191649555,"SEDAN",1,"M","C",6,0
1.62,0.5201916495,"SEDAN",2,"M","C",3,0
0.71,0.2874743326,"HBACK",4,"M","C",2,0
1.59,0.4791238877,"MIBUS",4,"F","C",3,0
1.78,0.8076659822,"SEDAN",2,"F","A",2,0
0.35,0.8678986995,"SEDAN",4,"F","A",6,1
0.69,0.6242299795,"HBACK",4,"F","A",2,0
1.71,0.4599589322,"HBACK",3,"F","B",2,0
4.369,0.4517453799,"PANVN",1,"M","C",4,0
3.86,0.1697467488,"HDTOP",2,"F","D",5,0
3.25,0.5448323066,"STNWG",1,"F","A",3,0
1.82,0.5174537988,"STNWG",4,"M","D",2,0
2.93,0.3887748118,"SEDAN",1,"M","B",1,0
0.97,0.4517453799,"TRUCK",4,"M","D",6,0
1.58,0.1478439425,"HBACK",2,"F","A",4,0
1.41,0.9993155373,"SEDAN",2,"M","A",6,0
0.41,0.3230663929,"HBACK",4,"F","A",5,0
1.57,0.9993155373,"STNWG",4,"M","D",5,0
1.24,0.6707734428,"SEDAN",3,"F","A",4,0
1.81,0.2929500342,"HDTOP",3,"F","B",3,0
3.3,0.8240930869,"STNWG",1,"F","A",3,0
2.2,0.8076659822,"HDTOP",3,"M","C",2,0
1.55,0.3887748118,"SEDAN",2,"M","E",3,0
1.58,0.8240930869,"STNWG",3,"F","C",1,0
1.31,0.7529089665,"STNWG",4,"M","B",3,0
1.26,0.8542094456,"HBACK",2,"M","B",2,0
1.61,0.8542094456,"STNWG",2,"F","D",3,0
1.39,0.7912388775,"HBACK",3,"M","B",1,0
0.77,0.7529089665,"HBACK",4,"F","D",2,0
0.97,0.5174537988,"SEDAN",3,"M","E",4,0
0.49,0.1560574949,"HBACK",4,"F","B",5,0
1.14,0.5174537988,"SEDAN",3,"F","D",4,0
0.9,0.5174537988,"HBACK",3,"F","B",4,0
1.47,0.2080766598,"STNWG",3,"F","A",3,0
0.72,0.7912388775,"HBACK",4,"F","C",1,0
1.6,0.7529089665,"HDTOP",3,"F","F",2,0
2.14,0.386036961,"SEDAN",1,"F","D",4,0
1.01,0.8049281314,"SEDAN",3,"M","B",5,1
3,0.7501711157,"STNWG",1,"F","D",1,0
0.7,0.3696098563,"STNWG",4,"F","C",3,0
2.7,0.7885010267,"HDTOP",2,"F","B",4,0
1.68,0.8158795346,"HBACK",3,"F","A",6,0
1.17,0.8131416838,"SEDAN",3,"F","C",5,0
1.74,0.810403833,"HBACK",3,"F","A",6,1
2.67,0.34770705,"SEDAN",1,"M","C",4,0
2.57,0.810403833,"SEDAN",2,"M","C",4,0
1.4,0.7474332649,"SEDAN",3,"F","E",6,0
0.95,0.810403833,"SEDAN",4,"F","B",4,0
0.73,0.8131416838,"SEDAN",4,"M","A",3,0
1.26,0.8158795346,"HDTOP",4,"M","D",1,0
0.99,0.810403833,"SEDAN",4,"F","A",4,0
0.77,0.810403833,"HBACK",3,"F","B",5,0
1.39,0.810403833,"SEDAN",3,"M","B",2,0
1.39,0.1889117043,"HBACK",1,"F","C",6,0
0.84,0.7693360712,"HBACK",3,"F","B",2,1
1.42,0.810403833,"UTE",3,"F","E",2,0
1.63,0.8049281314,"SEDAN",2,"F","A",2,0
1.399,0.9993155373,"HBACK",1,"F","B",5,0
0.73,0.8131416838,"HBACK",4,"M","B",5,0
2.08,0.8158795346,"SEDAN",2,"F","B",4,0
3.86,0.3668720055,"HDTOP",2,"M","A",4,0
2.66,0.7501711157,"SEDAN",1,"M","A",2,0
2.92,0.3832991102,"STNWG",3,"M","A",4,0
1.47,0.501026694,"SEDAN",3,"M","C",3,0
5.499,0.7501711157,"STNWG",1,"M","D",3,0
1.45,0.5284052019,"HBACK",2,"F","C",3,0
1.52,0.7885010267,"SEDAN",3,"M","B",3,0
0.98,0.7419575633,"UTE",4,"M","C",1,1
3.51,0.8295687885,"PANVN",2,"M","C",4,0
2.56,0.7885010267,"SEDAN",1,"F","C",3,0
1.64,0.5694729637,"UTE",4,"M","E",1,0
1.32,0.7063655031,"STNWG",4,"F","B",2,1
1.97,0.3832991102,"SEDAN",2,"F","A",3,1
0.87,0.7227926078,"SEDAN",3,"F","B",2,1
1.1,0.8596851472,"SEDAN",3,"F","A",2,0
0.82,0.3832991102,"SEDAN",4,"F","C",2,0
1.47,0.7830253251,"SEDAN",3,"F","B",1,1
2.77,0.1697467488,"STNWG",3,"M","B",4,1
1.74,0.8021902806,"SEDAN",2,"F","A",3,0
0.43,0.7310061602,"MIBUS",4,"F","B",2,0
1.03,0.1149897331,"STNWG",4,"F","A",2,0
0.96,0.7857631759,"SEDAN",4,"F","C",4,0
2.56,0.3449691992,"SEDAN",2,"F","C",1,0
2.14,0.7392197125,"HBACK",1,"F","A",2,0
0.4,0.0657084189,"SEDAN",4,"F","B",6,0
1.77,0.93908282,"STNWG",2,"M","C",5,0
1.36,0.0711841205,"SEDAN",2,"F","A",3,0
2.5485,0.9993155373,"SEDAN",1,"M","C",6,0
0.62,0.5229295003,"STNWG",4,"M","B",5,0
1.36,0.8076659822,"HBACK",2,"M","A",6,0
0.71,0.0657084189,"TRUCK",4,"M","B",2,0
0.39,0.8076659822,"SEDAN",4,"M","C",6,0
0.54,0.7912388775,"SEDAN",4,"F","D",3,1
3.99,0.9363449692,"MCARA",2,"M","A",6,0
1.83,0.1368925394,"SEDAN",1,"F","A",6,0
0.45,0.93908282,"STNWG",4,"F","A",3,0
1.93,0.8076659822,"STNWG",4,"F","C",4,0
1.07,0.1916495551,"HBACK",3,"F","C",3,0
1.36,0.8021902806,"HBACK",2,"M","A",3,1
1.17,0.7392197125,"HBACK",2,"F","D",4,0
4.5,0.7337440109,"TRUCK",1,"M","D",2,0
2.65,0.2135523614,"SEDAN",1,"F","D",5,0
1.87,0.3997262149,"HBACK",2,"F","A",2,0
2.04,0.7392197125,"STNWG",3,"M","F",5,0
1.77,0.372347707,"SEDAN",2,"F","A",1,0
2.22,0.6899383984,"SEDAN",1,"F","A",4,0
1.85,0.7857631759,"HBACK",2,"M","C",2,0
0.52,0.887063655,"STNWG",4,"M","A",2,0
1.91,0.1122518823,"HBACK",2,"F","A",4,0
1.81,0.7857631759,"SEDAN",3,"M","C",2,0
3.16,0.8624229979,"STNWG",2,"M","A",2,0
1.45,0.3778234086,"UTE",3,"M","B",4,0
4.73,0.7364818617,"STNWG",1,"F","B",4,0
2.4,0.8323066393,"STNWG",4,"F","F",2,0
0.86,0.8651608487,"HBACK",4,"F","C",4,0
0.67,0.8049281314,"SEDAN",4,"F","C",3,1
4.44,0.8131416838,"SEDAN",4,"M","A",4,0
0.58,0.1943874059,"STNWG",4,"F","B",4,0
1.07,0.8049281314,"SEDAN",3,"M","C",6,0
1.57,0.7830253251,"SEDAN",2,"F","F",3,0
1.04,0.8213552361,"HBACK",2,"F","D",1,0
3.44,0.7364818617,"TRUCK",2,"F","F",4,0
1.44,0.3750855578,"TRUCK",2,"M","A",1,0
4.05,0.1149897331,"STNWG",2,"M","C",2,0
1.79,0.4161533196,"STNWG",4,"F","C",1,0
4.53,0.7994524298,"STNWG",2,"F","A",2,0
0.57,0.6789869952,"TRUCK",4,"F","C",4,0
1.23,0.7529089665,"COUPE",4,"F","A",4,1
1.3,0.1040383299,"HBACK",2,"F","A",2,0
3.1,0.9418206708,"STNWG",3,"M","C",3,0
2.02,0.9418206708,"SEDAN",2,"M","E",4,0
0.85,0.9418206708,"COUPE",4,"F","C",5,0
2.04,0.3422313484,"HBACK",2,"F","B",3,0
1.95,0.1998631075,"SEDAN",2,"F","A",4,0
1.42,0.5667351129,"HBACK",3,"F","A",5,0
1.36,0.7967145791,"HBACK",2,"F","A",3,0
1.31,0.7994524298,"STNWG",4,"M","D",3,0
1.38,0.8925393566,"HBACK",2,"F","A",3,0
1.66,0.1998631075,"STNWG",3,"M","A",4,0
1.55,0.7364818617,"SEDAN",2,"M","A",4,0
2.83,0.7364818617,"HDTOP",2,"F","B",4,0
0.84,0.2217659138,"HBACK",3,"F","D",5,0
3.03,0.7830253251,"STNWG",2,"F","A",4,0
2.18,0.7802874743,"SEDAN",2,"M","C",6,1
1.68,0.8925393566,"SEDAN",2,"F","C",4,0
1.6,0.7830253251,"SEDAN",1,"M","A",2,0
1.21,0.514715948,"HBACK",2,"F","E",6,0
1.86,0.3449691992,"STNWG",4,"M","D",4,0
3.57,0.4845995893,"UTE",1,"F","D",5,0
2.89,0.514715948,"STNWG",3,"F","E",3,0
3.199,0.3696098563,"STNWG",1,"M","A",4,0
2.32,0.681724846,"STNWG",3,"M","B",5,0
